cellBC	JAK1wtTXcnt	JAK1mutTXcnt
bcAADS	0	0
bcAADW	4	0
bcAAFF	25	0
bcAAGP	0	0
bcAANB	19	0
bcAAPJ	0	0
bcAAPM	15	0
bcAARC	7	0
bcABAA	0	0
bcABEO	0	0
bcABKT	0	0
bcABQE	0	0
bcABYJ	0	0
bcABYP	1	0
bcABYQ	0	0
bcACBO	12	0
bcACBS	0	0
bcACFR	79	0
bcACHS	0	0
bcACIN	0	0
bcACSC	0	0
bcADBB	10	0
bcADCX	6	0
bcADKI	0	0
bcADKW	0	0
bcADLF	0	0
bcADMW	0	0
bcADON	0	0
bcADQA	5	0
bcADVN	9	0
bcADWF	18	0
bcAEBG	1	0
bcAEGA	17	0
bcAEIP	11	0
bcAEIS	0	0
bcAEMW	29	0
bcAERU	0	0
bcAETN	0	0
bcAETW	0	0
bcAEUA	0	0
bcAEXE	15	0
bcAEYP	0	0
bcAFAR	0	0
bcAFAY	0	0
bcAFDC	0	0
bcAFDO	0	0
bcAFJH	8	0
bcAFRY	0	0
bcAFUE	0	0
bcAFWG	0	0
bcAFWZ	0	0
bcAGAO	1	0
bcAGBN	9	0
bcAGKS	0	0
bcAGLD	0	0
bcAGNQ	0	0
bcAGSU	0	0
bcAGUC	0	0
bcAGZB	0	0
bcAGZC	17	0
bcAHBL	2	0
bcAHCD	0	0
bcAHET	0	0
bcAHMI	0	0
bcAHNW	0	0
bcAHRH	0	0
bcAHSD	0	0
bcAHUF	26	0
bcAIAX	0	0
bcAIDS	0	0
bcAIES	0	0
bcAIKG	27	0
bcAIKN	1	0
bcAINF	17	0
bcAINP	1	0
bcAINR	32	0
bcAIOD	0	0
bcAIPB	40	0
bcAIPH	0	0
bcAIPS	49	0
bcAIQD	6	0
bcAIQR	0	0
bcAIUD	10	0
bcAIUU	16	0
bcAJCX	0	0
bcAJFN	0	0
bcAJFO	0	0
bcAJFU	0	0
bcAJGD	20	0
bcAJGQ	0	0
bcAJHH	0	0
bcAJKI	0	0
bcAJNE	0	0
bcAJRS	0	0
bcAJSH	17	0
bcAJZE	55	0
bcAKDJ	0	0
bcAKEW	7	0
bcAKFJ	0	0
bcAKRA	0	0
bcAKTB	0	0
bcAKTT	0	0
bcAKUK	0	0
bcAKUX	14	0
bcAKZD	0	0
bcALFB	0	0
bcALJU	0	0
bcALQC	39	0
bcALRL	0	0
bcALSW	12	0
bcALUG	25	0
bcALUY	4	0
bcAMCT	0	0
bcAMDE	10	0
bcAMDV	0	0
bcAMIC	0	0
bcAMNF	0	0
bcAMON	0	0
bcAMOV	0	0
bcAMQH	20	0
bcAMRO	0	0
bcAMVP	0	0
bcAMZF	11	0
bcANCF	14	0
bcANCW	12	0
bcANGN	58	0
bcANIB	13	0
bcANJU	0	0
bcANNK	2	0
bcANOQ	0	0
bcANPC	0	0
bcANRB	0	0
bcANUV	3	0
bcAOAS	7	0
bcAOCH	7	0
bcAOFV	0	0
bcAOLI	14	0
bcAOPZ	0	0
bcAOTK	0	0
bcAPBR	74	0
bcAPJE	0	0
bcAPNQ	1	0
