cellBC	JAK1wtTXcnt	JAK1mutTXcnt
bcAABZ	0	0
bcAACA	6	0
bcAAEQ	0	0
bcAAFS	1	0
bcAAFX	0	0
bcAAGG	1	0
bcAAGM	8	0
bcAAGO	15	0
bcAAIB	0	0
bcAAJD	0	0
bcAAPG	0	0
bcAASQ	0	0
bcAASZ	0	0
bcAAVO	0	0
bcAAVT	0	0
bcAAWY	7	0
bcABEE	11	0
bcABFU	16	0
bcABGJ	0	0
bcABGY	0	0
bcABJV	0	0
bcABLY	5	0
bcABMP	0	0
bcABQS	0	0
bcABSN	0	0
bcACBH	8	0
bcACFH	37	0
bcACHS	0	0
bcACME	0	0
bcACSS	0	0
bcACTS	19	0
bcACVO	1	0
bcACVW	1	0
bcACVX	31	0
bcACXW	1	0
bcADBM	16	0
bcADDX	0	0
bcADKE	0	0
bcADQB	0	0
bcADTI	1	0
bcADTM	14	0
bcADXA	0	0
bcADXP	0	0
bcAEFV	0	0
bcAEHE	16	0
bcAEIS	1	0
bcAEMQ	8	0
bcAEOV	0	0
bcAEPU	0	0
bcAEQF	0	0
bcAEQS	0	0
bcAESC	24	0
bcAEUN	0	0
bcAEVH	0	0
bcAEVR	0	0
bcAEXP	0	0
bcAEXS	0	0
bcAFDP	9	0
bcAFFO	0	0
bcAFIU	0	0
bcAFQH	0	0
bcAFRV	0	0
bcAFTV	0	0
bcAFTY	0	0
bcAFVZ	2	0
bcAFWB	0	0
bcAFYU	1	0
bcAGBP	0	0
bcAGGR	0	0
bcAGHL	17	0
bcAGIZ	0	0
bcAGKL	15	0
bcAGNQ	0	0
bcAGOS	0	0
bcAGPY	1	0
bcAGTD	0	0
bcAGTV	0	0
bcAGVK	0	0
bcAGZX	15	0
bcAHCD	26	0
bcAHQM	0	0
bcAHRO	0	0
bcAHUP	43	0
bcAHZK	2	0
bcAHZR	0	0
bcAIAQ	0	0
bcAIHD	0	0
bcAIIR	0	0
bcAILC	1	0
bcAIMM	13	0
bcAINR	0	0
bcAIOE	0	0
bcAIPX	0	0
bcAISJ	0	0
bcAIUB	0	0
bcAIUI	0	0
bcAIWM	1	0
bcAJAM	0	0
bcAJCO	0	0
bcAJGI	0	0
bcAJLQ	0	0
bcAJNU	16	0
bcAJPQ	0	0
bcAJXL	12	0
bcAKAT	0	0
bcAKBH	0	0
bcAKBI	0	0
bcAKBJ	0	0
bcAKET	33	0
bcAKGL	0	0
bcAKIX	0	0
bcAKMO	0	0
bcAKRV	18	0
bcAKUH	11	0
bcAKYR	10	0
bcAKYY	27	0
bcAKZU	0	0
bcALHM	0	0
bcALMK	4	0
bcALOI	13	0
bcALPA	0	0
bcALQH	1	0
bcALSL	0	0
bcALVD	0	0
bcALVP	0	0
bcALYI	0	0
bcALZQ	0	0
bcAMAH	0	0
bcAMER	1	0
bcAMFS	0	0
bcAMFT	0	0
bcAMNF	15	0
bcAMOJ	6	0
bcAMOO	0	0
bcAMPX	3	0
bcAMQU	15	0
bcAMSD	13	0
bcAMSG	0	0
bcAMSI	0	0
bcAMZB	0	0
bcANAS	1	0
bcANIR	7	0
bcANKK	18	0
bcANMF	0	0
bcANOG	0	0
bcANPL	0	0
bcANRB	0	0
bcAOAR	1	0
bcAOBU	1	0
bcAOCR	14	0
bcAODI	0	0
bcAOFN	0	0
bcAOIE	3	0
bcAOJB	4	0
bcAOLM	0	0
bcAOSW	0	0
bcAOTC	13	0
bcAOVH	0	0
bcAPAD	1	0
bcAPAQ	0	0
bcAPFF	2	0
bcAPJD	18	0
bcAPRI	0	0
bcAPRR	0	0
bcAPRS	0	0
bcAPYD	0	0
bcAPYE	0	0
bcAPYG	0	0
bcAPZA	5	0
bcAQBV	0	0
bcAQEE	0	0
bcAQHB	0	0
bcAQJJ	0	0
bcAQKH	0	0
bcAQMA	0	0
bcAQRQ	6	0
bcAQRZ	16	0
bcAQSW	0	0
bcAQTY	1	0
bcAQWW	0	0
bcAQWY	1	0
bcAQZC	13	0
bcARAN	0	0
bcARKM	1	0
bcARMY	0	0
bcARND	2	0
bcARNI	12	0
bcAROH	0	0
bcARPZ	1	0
bcARQI	1	0
bcARQO	0	0
bcARRP	9	0
bcARRW	1	0
bcARVJ	0	0
bcARVU	17	0
bcARZX	14	0
bcASCH	21	0
bcASDH	7	0
bcASIZ	0	0
bcASKG	0	0
bcASOZ	0	0
bcASSM	25	0
