cellBC	JAK1wtTXcnt	JAK1mutTXcnt
bcAAAF	1	4
bcAAAI	0	1
bcAABH	0	1
bcAABU	2	0
bcAAGG	1	0
bcAAGM	1	0
bcAAJT	0	1
bcAALV	0	3
bcAALX	48	0
bcAAMP	0	2
bcAAOB	2	1
bcAAOI	17	40
bcAAPN	0	0
bcAAPQ	14	0
bcAARV	0	0
bcAAXE	1	1
bcAAXM	0	0
bcABBQ	1	0
bcABEE	0	0
bcABFD	1	0
bcABFF	4	0
bcABFO	0	0
bcABGH	0	21
bcABHN	0	0
bcABHW	15	2
bcABHX	22	0
bcABJB	1	0
bcABKM	0	0
bcABNH	0	0
bcABQH	0	0
bcABQK	0	0
bcABRR	1	0
bcABSM	13	0
bcABSU	2	0
bcABSX	0	0
bcABTW	2	2
bcABUE	0	1
bcABUT	0	1
bcABWC	0	0
bcABWU	0	0
bcABZC	1	5
bcACAX	0	0
bcACCL	2	0
bcACFH	30	0
bcACFU	1	0
bcACHR	0	1
bcACIG	4	0
bcACIV	2	0
bcACKU	0	1
bcACRM	1	1
bcACSC	0	0
bcACSV	0	0
bcACVZ	0	1
bcACWP	48	1
bcACXX	0	0
bcADBP	0	19
bcADBZ	1	0
bcADCC	1	0
bcADDT	1	0
bcADIQ	3	17
bcADJK	0	1
bcADKA	35	0
bcADKH	0	0
bcADKR	2	1
bcADLG	0	1
bcADMQ	0	0
bcADNF	1	0
bcADNP	0	0
bcADOO	1	0
bcADPG	0	1
bcADQJ	2	0
bcADRI	1	0
bcADSR	0	0
bcADUC	1	0
bcADUO	1	2
bcADXY	0	0
bcADYB	1	0
bcADYK	0	0
bcADZZ	0	0
bcAEBB	76	15
bcAEBD	0	0
bcAEBK	0	0
bcAECP	0	43
bcAEDL	16	0
bcAEEI	0	0
bcAEEK	104	1
bcAEHI	0	1
bcAEKC	0	0
bcAEKQ	0	1
bcAENJ	1	1
bcAENT	0	1
bcAEOT	0	0
bcAEOZ	1	0
bcAEPW	2	0
bcAEQD	1	0
bcAEQG	0	0
bcAERP	3	0
bcAESW	104	0
bcAEUG	0	1
bcAEUH	73	0
bcAEWJ	0	0
bcAEXT	3	0
bcAEYQ	0	22
bcAEZK	1	1
bcAFAS	1	1
bcAFBT	23	0
bcAFDF	1	1
bcAFDJ	1	0
bcAFDN	0	0
bcAFEK	2	86
bcAFEL	1	0
bcAFEU	1	2
bcAFFB	0	0
bcAFGL	54	1
bcAFHO	38	1
bcAFIW	1	0
bcAFJE	1	1
bcAFJR	3	16
bcAFJV	0	0
bcAFKB	0	0
bcAFKE	0	8
bcAFKF	1	0
bcAFKN	0	0
bcAFNC	1	1
bcAFQD	2	1
bcAFRZ	0	0
bcAFSE	1	2
bcAFSH	0	0
bcAFSK	0	1
bcAFTS	0	0
bcAFWE	0	0
bcAFWI	1	1
bcAFXC	1	1
bcAFXL	1	0
bcAFXY	1	0
bcAFZN	0	2
bcAFZT	0	0
bcAGAS	0	65
bcAGBX	36	0
bcAGCD	2	0
bcAGCH	1	0
bcAGDK	42	0
bcAGDQ	0	0
bcAGFM	0	1
bcAGGO	0	0
bcAGGY	1	1
bcAGHD	1	1
bcAGIJ	0	0
bcAGIS	1	1
bcAGMS	1	0
bcAGPN	21	0
bcAGQA	0	0
bcAGVV	0	1
bcAGVW	1	0
bcAGWD	2	0
bcAGXE	1	0
bcAGZC	1	2
bcAGZG	53	5
bcAHAT	0	2
bcAHAU	36	5
bcAHBM	1	0
bcAHEF	1	1
bcAHHD	1	0
bcAHIX	0	0
bcAHKD	0	1
bcAHKM	1	0
bcAHKP	0	0
bcAHKY	0	0
bcAHLJ	8	0
bcAHLL	0	0
bcAHLX	1	0
bcAHOL	0	1
bcAHPB	3	1
bcAHQC	0	69
bcAHUH	2	0
bcAHZB	0	0
bcAIAE	0	0
bcAIAT	1	0
bcAICG	0	0
bcAIFO	0	0
bcAIIP	1	0
bcAIJS	1	42
bcAINO	1	0
bcAIOD	0	1
bcAIOM	0	0
bcAIOY	2	1
bcAIPA	1	1
bcAIPB	20	0
bcAIRA	0	0
bcAIRT	1	0
bcAITK	0	0
bcAIVM	1	0
bcAIXK	0	1
bcAIXQ	0	9
bcAJCL	0	0
bcAJCN	3	46
