cellBC	JAK1wtTXcnt	JAK1mutTXcnt
bcAAAP	0	0
bcAAAU	0	0
bcAAFE	0	0
bcAAHZ	0	0
bcAAJK	14	0
bcAAJY	0	0
bcAANB	0	0
bcAAPW	0	0
bcAASD	0	0
bcAASF	0	0
bcAASO	23	0
bcAAUV	0	0
bcAAYM	0	0
bcABPZ	0	0
bcABQR	0	0
bcABSV	2	0
bcABYC	6	0
bcABYL	1	0
bcABYT	18	0
bcABYX	42	0
bcABZI	1	0
bcACDB	0	0
bcACDC	0	0
bcACDN	0	0
bcACEL	0	0
bcACKA	14	0
bcACLN	0	0
bcACOA	0	0
bcACOY	37	0
bcACTZ	0	0
bcACUQ	21	0
bcACVV	0	0
bcACXW	0	0
bcACYI	0	0
bcACYR	1	0
bcADCZ	4	0
bcADKU	1	0
bcADLF	0	0
bcADOP	0	0
bcADRJ	0	0
bcADRY	0	0
bcADSH	0	0
bcADVW	0	0
bcADZX	0	0
bcAEAM	0	0
bcAEBW	0	0
bcAEEU	10	0
bcAEFF	0	0
bcAEFQ	1	0
bcAEGD	0	0
bcAEIX	38	0
bcAEOU	0	0
bcAEPC	2	0
bcAESP	2	0
bcAEWF	0	0
bcAFDE	32	0
bcAFGX	0	0
bcAFHI	0	0
bcAFLP	4	0
bcAFMA	0	0
bcAFNI	0	0
bcAFOW	0	0
bcAFTH	0	0
bcAGCE	6	0
bcAGEK	0	0
bcAGLD	23	0
bcAGWW	0	0
bcAHOG	0	0
bcAHOU	19	0
bcAHOW	0	0
bcAHWD	0	0
bcAHZQ	26	0
bcAIAQ	0	0
bcAICB	4	0
bcAICL	0	0
bcAIDG	25	0
bcAIDS	0	0
bcAIEA	1	0
bcAIFC	0	0
bcAIHF	1	0
bcAIOA	34	0
bcAIOE	0	0
bcAIOO	1	0
bcAIPP	0	0
bcAIUB	0	0
bcAIWY	0	0
bcAJAM	0	0
bcAJBZ	0	0
bcAJCV	6	0
bcAJCX	0	0
bcAJGA	4	0
bcAJGQ	0	0
bcAJNJ	4	0
bcAJUN	0	0
bcAKBM	0	0
bcAKEI	0	0
bcAKGP	31	0
bcAKIG	0	0
bcAKJO	6	0
bcAKKM	0	0
bcAKKS	0	0
bcAKLA	0	0
bcAKLX	8	0
bcAKMH	19	0
bcAKTH	0	0
bcAKTZ	0	0
bcAKUI	1	0
bcAKXK	0	0
bcAKZP	1	0
bcALAL	0	0
bcALCK	3	0
bcALEP	17	0
bcALHE	40	0
bcALHF	0	0
bcALJX	0	0
bcALMK	0	0
bcALPK	0	0
bcALQZ	43	0
bcALRG	0	0
bcALTZ	6	0
bcALUP	0	0
bcALVU	4	0
bcALVY	24	0
bcALYU	0	0
bcALZL	0	0
bcAMBG	0	0
bcAMBU	23	0
bcAMFI	2	0
bcAMIC	6	0
bcAMOA	0	0
bcAMOJ	16	0
bcAMSO	13	0
bcAMST	38	0
bcAMXU	31	0
bcANAF	0	0
bcANAQ	0	0
bcANBY	0	0
bcANCY	0	0
bcANGZ	13	0
bcANHK	0	0
bcANHZ	20	0
bcANJK	0	0
bcANJO	0	0
bcANNU	0	0
bcANPG	58	0
bcANWS	1	0
bcAOFJ	0	0
bcAOKY	0	0
bcAOLK	0	0
bcAOLQ	0	0
bcAONM	0	0
bcAONN	0	0
bcAOUU	0	0
bcAOXD	20	0
bcAOXO	0	0
bcAOYU	0	0
bcAPBR	0	0
bcAPFY	0	0
bcAPKQ	1	0
bcAPLK	0	0
bcAPMG	0	0
bcAPPP	0	0
bcAPRS	0	0
bcAQAY	0	0
bcAQER	0	0
bcAQIZ	24	0
bcAQMY	7	0
bcAQQX	0	0
bcAQRY	28	0
bcAQXG	0	0
bcARDR	0	0
bcARDT	5	0
bcAREZ	0	0
bcARFA	0	0
bcARGR	1	0
bcARLY	14	0
bcARUK	0	0
bcARWZ	0	0
bcASAL	0	0
bcASET	10	0
bcASHJ	0	0
bcASUC	0	0
bcASVC	9	0
bcASXI	0	0
bcATAR	0	0
bcATDA	3	0
bcATDO	3	0
bcATDQ	0	0
bcATEP	15	0
bcATJR	23	0
bcATPX	0	0
bcATTN	26	0
bcATUC	0	0
bcATWC	0	0
bcATXK	0	0
bcATYD	13	0
bcATYQ	24	0
bcATZD	0	0
bcATZL	4	0
bcAUAT	0	0
bcAUAX	1	0
bcAUEV	0	0
bcAUJU	7	0
bcAUKF	33	0
bcAUMR	0	0
bcAUND	18	0
bcAUNP	0	0
bcAUNY	0	0
bcAUOW	0	0
bcAUPD	0	0
bcAUQP	0	0
bcAURA	39	0
bcAURW	18	0
bcAUUM	5	0
bcAUVU	0	0
bcAVAG	2	0
bcAVDC	0	0
bcAVEX	0	0
bcAVKX	11	0
bcAVNT	3	0
bcAVSA	0	0
bcAVUZ	0	0
bcAVVK	17	0
bcAVVQ	22	0
bcAVXB	11	0
bcAVXX	44	0
bcAVZK	0	0
bcAWAQ	1	0
bcAWCM	1	0
bcAWGR	25	0
bcAWIN	0	0
bcAWKT	11	0
bcAWQA	0	0
bcAWUG	8	0
bcAWUO	1	0
bcAWWX	0	0
bcAWXE	2	0
bcAXBK	0	0
bcAXBZ	19	0
bcAXCB	0	0
bcAXET	1	0
bcAXHQ	0	0
bcAXNU	5	0
bcAXQH	0	0
bcAXRQ	0	0
bcAXTS	0	0
bcAXUX	0	0
bcAXWM	15	0
bcAXYA	0	0
bcAYDI	15	0
bcAYFZ	14	0
bcAYIP	25	0
bcAYMQ	0	0
bcAYQY	14	0
bcAYRM	0	0
bcAZGC	1	0
bcAZMG	23	0
bcAZPU	1	0
bcAZSU	0	0
bcAZYM	0	0
bcBABY	0	0
bcBAEB	0	0
bcBAFC	0	0
bcBAHK	0	0
bcBAMK	25	0
bcBANP	19	0
bcBASB	0	0
bcBAVZ	0	0
bcBBCD	21	0
bcBBCL	1	0
bcBBDK	0	0
bcBBDW	12	0
bcBBDY	0	0
bcBBEL	0	0
bcBBFQ	0	0
bcBBGG	0	0
bcBBHO	0	0
bcBBJY	1	0
bcBBKV	0	0
bcBBMF	1	0
bcBBNE	0	0
bcBBTT	9	0
bcBBVI	0	0
bcBBVM	0	0
bcBBWK	0	0
bcBCHZ	0	0
bcBCKT	1	0
bcBCLC	1	0
bcBCLE	0	0
bcBCLH	22	0
bcBCLS	0	0
bcBCLZ	0	0
