cellBC	JAK1wtTXcnt	JAK1mutTXcnt
bcAAAA	0	0
bcAAAI	0	0
bcAAAQ	17	0
bcAABU	0	0
bcAADG	0	0
bcAADH	0	0
bcAADS	0	0
bcAADX	0	0
bcAAHB	2	40
bcAAIG	89	1
bcAAIX	0	0
bcAAJR	0	0
bcAAPQ	1	0
bcAASD	3	0
bcAATT	0	0
bcAAUA	66	0
bcAAUB	2	0
bcAAUZ	0	0
bcABAL	74	0
bcABAU	1	0
bcABIE	0	0
bcABJX	0	0
bcABNA	65	0
bcABOS	0	0
bcABSL	0	1
bcABSX	1	1
bcABTS	0	1
bcABUE	0	99
bcABUL	0	0
bcABWK	0	0
bcABWV	2	0
bcABYR	0	0
bcACAX	0	0
bcACBD	0	0
bcACEM	0	57
bcACLJ	0	0
bcACLO	13	0
bcACOO	0	0
bcACPJ	1	0
bcACQY	0	0
bcACRM	0	0
bcACUC	2	0
bcACVI	0	0
bcACZQ	0	0
bcADGS	0	0
bcADIJ	1	0
bcADKH	0	0
bcADKQ	0	0
bcADKZ	0	0
bcADMM	0	0
bcADNP	0	0
bcADQZ	0	0
bcADRI	0	22
bcADUO	8	0
bcADZR	0	0
bcAEAJ	0	22
bcAEBN	0	0
bcAECX	0	144
bcAEDM	0	0
bcAEKF	3	47
bcAEKN	0	0
bcAEKQ	0	0
bcAENJ	0	0
bcAENT	16	0
bcAEPW	2	0
bcAEUI	0	0
bcAEXI	0	40
bcAEYC	1	0
bcAFCD	0	0
bcAFDW	36	24
bcAFDX	38	0
bcAFGW	0	0
bcAFID	0	0
bcAFME	0	0
bcAFQV	0	0
bcAFRS	0	0
bcAFRV	0	0
bcAFRW	0	0
bcAFSB	0	0
bcAFSE	1	0
bcAFSH	0	0
bcAFSI	0	1
bcAFSO	0	0
bcAFTD	60	0
bcAFTS	3	1
bcAFVT	36	0
bcAFXP	0	0
bcAGBX	0	35
bcAGDK	0	0
bcAGDQ	0	0
bcAGHB	0	0
bcAGHC	1	1
bcAGHR	0	0
bcAGJT	0	0
bcAGLF	0	0
bcAGMO	0	0
bcAGMS	1	0
bcAGOA	7	0
bcAGSM	0	0
bcAGSN	0	0
bcAGTY	61	0
bcAGVJ	0	2
bcAGWT	0	61
bcAGWY	0	0
bcAGYA	0	0
bcAHIB	0	0
bcAHJO	0	0
bcAHKA	0	0
bcAHLF	1	0
bcAHNW	0	0
bcAHPW	0	0
bcAHQG	0	0
bcAHRD	0	0
bcAHUJ	0	0
bcAHWX	0	0
bcAIAE	0	0
bcAIAS	39	0
bcAIFO	0	0
bcAIJC	1	0
bcAILC	0	0
bcAINE	0	0
bcAINF	0	0
bcAIOD	0	0
bcAIOM	0	0
bcAIOO	0	0
bcAIPA	12	0
bcAIRT	1	0
bcAIUD	0	0
bcAIXV	42	0
bcAJAK	9	0
bcAJCP	0	0
bcAJCY	0	0
bcAJEO	1	0
bcAJHO	4	0
bcAJHQ	0	0
bcAJIF	0	0
bcAJIW	85	0
bcAJKJ	0	0
bcAJMS	9	0
bcAJPM	0	0
bcAJRJ	0	0
bcAJSZ	0	0
bcAJTF	1	0
bcAJVD	0	0
bcAKAH	35	0
bcAKAS	0	0
bcAKBB	0	0
bcAKDX	0	0
bcAKEH	0	0
bcAKFD	0	0
bcAKFY	0	1
bcAKFZ	1	0
bcAKGN	0	28
bcAKHT	0	0
bcAKHY	2	1
bcAKIT	4	0
bcAKLA	1	0
bcAKME	0	0
bcAKNW	0	1
bcAKPO	76	0
bcAKQI	0	0
bcAKQT	0	51
bcAKRI	2	0
bcAKSI	0	0
bcAKUG	2	0
